Name,Description,Logo
KONTA,"
									KONTA est la plateforme de gestion bout-en-bout des dépenses fournisseurs. Que vous ayez quelques dizaines ou plusieurs milliers de factures par mois ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/KONTA-Start-up-150x150.png
MBA.ma,"
									MBA.MA le Guide des Masters et MBA au Maroc. Toute l’information dont vous avez besoin pour choisir votre Master ou MBA au Maroc . MBA.ma, Le guide en ligne des Masters et MBA au Maroc ...	
								",https://www.start-up.ma/wp-content/uploads/2023/10/MBA.ma-Le_guide_des_Master_MBA_au_Maroc-150x150.png
Dates-concours.ma,"
									Dates-concours.ma, le guide en ligne de concours au Maroc vous propose une source incontournable d’information complète et détaillé sur les différentes formations ..	
								",https://www.start-up.ma/wp-content/uploads/2023/10/dates-concours-150x150.png
LNKO,"
									LNKO se consacre à la création de lunettes tendance offrant une protection efficace contre la lumière bleue nuisible des écrans. Axée sur les besoins visuels des milléniaux, l'entreprise accompagne ...	
								",https://www.start-up.ma/wp-content/uploads/2023/10/LNKO-Start-up-150x150.png
Carmine,"
									CARMINE est le pionnier du car-sharing au Maroc. Vous avez la liberté d’avoir à votre disposition un véhicule pour tous vos déplacements ponctuels, accessible à tout moment	
								",https://www.start-up.ma/wp-content/uploads/2023/11/carmine-150x150.png
CloudFret,"
									CloudFret est une plateforme digitale de mise en relation entre expéditeurs et transporteurs de marchandises, visant l’optimalisation des retours à vide des camions.	
								",https://www.start-up.ma/wp-content/uploads/2024/01/cloudfret-1-150x150.png
Freterium,"
									Freterium est la première plateforme de visibilité et de gestion prédictive dédiée à la supply chain en Afrique. Dans l'objectif de répondre aux attentes de l'ensemble des ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/freterium-150x150.png
MyTindy,"
									MyTindy est une place de marché conçue pour rendre disponibles, les produits des artisans marocains pour le monde entier. Grâce à ses médias sociaux et son site web	
								",https://www.start-up.ma/wp-content/uploads/2023/10/Tindy-l-Start-Up-150x150.png
Jodoor,"
									Jodoor est un réseau de fermes franchisées moderne, écologique et spécialisé dans la production de légumes à feuilles et d'herbes aromatiques de haute qualité. ...	
								",https://www.start-up.ma/wp-content/uploads/2023/10/Jodoor-150x150.png
SmartProf,"
									Smartprof est un marché de tutorat qui relie les élèves de la maternelle à la 12e année avec des tuteurs qualifiés pour les aider à améliorer leurs performances et à suivre leurs progrès...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Smart-Prof-l-Start-Up-150x150.png
Stagiaires.ma,"
									Stagiaires.ma, Le site des stages et stagiaire au Maroc, met à votre disposition plusieurs solutions pour trouver plus facilement votre stage au Maroc.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Stagiaires.ma-l-Start-Up-150x150.png
Chari.ma,"
									Chari.ma, Une société digitale dont la mission principale est de gérer l’activité e-commerciale des vendeurs de produits de grande consommation grâce à une application ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Chari.ma-l-Start-Up-150x150.png
Markoub.ma,"
									MarKoub.ma vous permet de rechercher les prix et horaires des autocars, comparer les offres de plusieurs sociétés de transport et de réserver vos billets en ligne ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/markoub.ma-l-Startup.ma_-150x150.png
Hsabati,"
									Hsabati est un logiciel de gestion complet et facile d'utilisation. Il vous permet de suivre votre prospection commerciale, le niveau de votre stock de produits, la facturation, vos finances, et bien plus encore …	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Hsabati-l-Start-Up-150x150.png
DabaDoc,"
									DabaDoc est la première plateforme de gestion de rendez-vous médicaux en ligne en Afrique. DabaDoc change le quotidien des médecins et celui de leurs patients.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/dabadoc-l-Start-Up-150x150.png
KIFAL Auto,"
									KIFAL Auto, une startup marocaine, révolutionne le marché de la voiture d’occasion. Elle accompagne ses clients tout au long de la chaîne d’achat-vente en offrant des services tels que ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Kifal-150x150.png
Manageo,"
									MANAGEO est un logiciel de gestion commerciale en ligne disponible en mode SaaS dans le Cloud. MANAGEO permet aux entrepreneurs, agences, petites et moyennes entreprises,	
								",https://www.start-up.ma/wp-content/uploads/2023/11/manageo-150x150.png
BOTI SCHOOL,"
									BOTI SCHOOL est une plateforme numérique tout-en-un à 360 degrés pour les écoles intelligentes. Nous offrons un système complet et transparent qui combine un SMS ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Boti-School-l-Start-Up.ma_-150x150.png
Saweblia,"
									Saweblia est une jeune start-up qui ambitionne de digitaliser le secteur des travaux à domicile, dans les travaux de rénovation et les « petits travaux .	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Saweblia-l-Start-up.ma_-150x150.png
Welovebuzz,"
									Welovebuzz, plateforme spécialisée dans le contenu viral. Après plus de 5 ans d’existence, elle devenue une référence pour les Millennials au Maroc avec une forte ambition ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Welovebuzz-start-up-150x150.png
Groupe Yep,"
									Groupe Yep, constitue un regroupement de filiales spécialisées dans l'ingénierie des systèmes intelligents et la transformation numérique. Cette initiative trouve ses racines dans ...	
								",https://www.start-up.ma/wp-content/uploads/2023/12/Groupe-YEP-150x150.png
DeepEcho,"
									DeepEcho est une start-up innovante qui révolutionne le domaine de la santé maternelle grâce à des algorithmes d’apprentissage profond à haute performance. Notre solution logicielle analyse de manière précise...	
								",https://www.start-up.ma/wp-content/uploads/2024/04/Deepech-150x150.png
Alfaradi,"
									Alfaradi est une application  qui permet à l’utilisateur de résoudre rapidement les problèmes et de partager le résultat via un lien. Et c’est ainsi que c’est facile et facile à accomplir.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Alfaradi-l-Start-Up-150x150.png
PreConstruction.ma,"
									PreConstruction.ma est une startup marocaine proposant une plateforme novatrice dédiée à la rénovation domiciliaire. Elle vise à simplifier l'expérience des particuliers en les connectant à des ...	
								",https://www.start-up.ma/wp-content/uploads/2024/01/PreConstruction.ma-l-Start-up.ma_-150x150.png
AGYRE TECHNOLOGY SERVICES,"
									Agyre Technology Services est une startup à la pointe des nouvelles technologies d’information.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/AGYRE-TECHNOLOGY-SERVICES--150x150.png
Yofitt,"
									Yofitt, une startup marocaine innovante, révolutionne la pratique du sport en offrant à ses utilisateurs un accès flexible à une multitude de salles de sport et de disciplines à travers tout le Maroc;	
								",https://www.start-up.ma/wp-content/uploads/2024/04/Yoffit-150x150.png
Spotter,"
									Spotter, une start-up technologique, s'engage à aider les entreprises de toutes tailles à évaluer instantanément la solvabilité de leurs clients payeurs de...	
								",https://www.start-up.ma/wp-content/uploads/2024/04/logo-1-150x150.png
CLEANZY,"
									CLEANZY est une franchise de pressings écologiques de haute qualité alliant expertise en traitement des textiles, écologie et innovation technologique ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Cleanzy-l-Start-Up.ma_-150x150.png
Sobrus,"
									Sobrus est spécialisé dans les solutions informatiques du domaine pharmaceutique et médicale. Sobrus est notamment le premier groupe a avoir développé des solutions de gestion de pharmacie, parapharmacie et...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/sobrus-150x150.png
WoVoiture,"
									Wovoiture est une plateforme nationale de location de voitures en ligne facilitant la réservation de véhicules. Son interface conviviale établit un lien transparent et accessible entre ...	
								",https://www.start-up.ma/wp-content/uploads/2023/12/wovoiture-150x150.png
How2Pay Services,"
									How2Pay Services est une société FinTech qui fournit des solutions de paiement électronique pour les institutions financières, les processeurs et les commutateurs nationaux du monde entier.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Hesp-150x150.png
CashPub,"
									CASHPUB est une société digitale offrant une plateforme qui permet aux utilisateurs de gagner de l’argent en participant à des jeux, challenges, tambolas ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/CashPub-150x150.png
DS INDUSTRIE,"
									Dsindustrie.com est une boutique en ligne spécialisée dans le commerce de détail d'appareils électriques et électroniques au Maroc, tels que le matériel ...	
								",https://www.start-up.ma/wp-content/uploads/2024/01/DS-INDUSTRIE-l-Start-up.ma_-150x150.png
PayTic,"
									PayTic, une startup spécialisée dans le domaine des technologies financières, se positionne en tant que leader dans la transformation du secteur monétique des émetteurs de cartes de paiement.	
								",https://www.start-up.ma/wp-content/uploads/2024/02/PayTic-logo-PNG-150x150.png
Sportym,"
									Sportym est une application innovante qui simplifie la réservation de terrains de sport et la recherche de partenaires de jeu. Grâce à Sportym, vous pouvez trouver facilement des terrains de qualité...	
								",https://www.start-up.ma/wp-content/uploads/2024/04/Sportym-150x150.png
Amendy Foods,"
									Amendy Foods offre des produits alimentaires: pratiques, sains et de haute valeur nutritionnelle. Leur mission est d’apporter aux consommateurs des aliments issus ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Amendy-Foods-150x150.png
Plénitude Groupe,"
									Plénitude Groupe est un cabinet de conseil 4.0 réinvente le métier du conseil et apporte un regard innovant et des résultats concrets à ses clients à l’ère du digital...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Plenitude-Groupe-l-Start-Up-150x150.png
ALG UNO,"
									ALG UNO est spécialisé dans l’industrie de production des engrais Bio à fort rendement, qui a un Impact positif sur le sol, par l’exploitation et la valorisation des algues marine.	
								",https://www.start-up.ma/wp-content/uploads/2024/01/algg-una-150x150.png
Fellah Pro,"
									Fellah Pro est une start-up qui vise à aider les exploitations agricoles à améliorer leurs cultures et à maintenir une position compétitive sur le marché.	
								",https://www.start-up.ma/wp-content/uploads/2024/01/Fellah-PRO-l-Start-up.ma_-150x150.png
Consomy,"
									Consomy est la première plateforme de consommation consciente offrant un mode de vie durable et intelligent, des services aux consommateurs pour prendre de meilleures ...	
								",https://www.start-up.ma/wp-content/uploads/2023/12/consomy-150x150.png
Kilo.ma,"
									KILO.ma est un site de vente en ligne au Maroc de produits alimentaires et autres conditionnés au kilogramme, offrant à ses clients le meilleur rapport qualité-quantité-prix...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Kilo.ma-l-start-Up-150x150.png
Yalla,"
									Yalla vous permettra de contacter un prestataire dont les compétences sauront répondre à vos besoins grâce aux différents types de service proposés	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Yalla.ma-l-Start-UP-150x150.png
Yushi Corporation,"
									Yushi Corporation La société Yushi a été créée par une femme marocaine qui a étudié aux États-Unis et y a vécu longtemps. De retour au Maroc, elle crée la marque de lingerie Bodylove...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/bodylove-150x150.png
SafeDEMAT,"
									SafeDEMAT est un éditeur de solutions innovantes pour la sécurité et la dématérialisation des procédures. SafeDEMAT est constitué de 2 pôles : La confiance numérique ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Safedemat-150x150.png
Jodour,"
									Jodour est une start-up marocaine qui a pour but de proposer des ressources éducatives pour transmettre la langue arabe et le patrimoine culturel de façon ludique et attrayante pour les enfants.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Jodour-l-Start-Up-150x150.png
AIOX LABS,"
									AIOX Labs mobilise les technologies d’intelligence artificielle pour répondre aux besoins métiers et projets data des entreprises. Leur objectif est de devenir ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/AIOX-LABS-150x150.png
ARTAB,"
									ARTAB la startup spécialisée en restauration virtuelle au service des professionnels. En effet, ARTAB est engagée à offrir ses solutions en restauration virtuelle ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/ARTAB-l-Start-Up-150x150.png
